over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,total_samples,batting_team_wins,win_probability
16-20,4-6,first_innings,strong_disadvantage,388,170,0.4381
16-20,4-6,high,moderate_advantage,80,41,0.5125
16-20,4-6,high,moderate_disadvantage,74,33,0.4459
16-20,4-6,high,neutral,87,62,0.7126
16-20,4-6,high,strong_advantage,54,33,0.6111
16-20,4-6,high,strong_disadvantage,50,21,0.42
16-20,4-6,low,moderate_advantage,43,41,0.9535
16-20,4-6,low,moderate_disadvantage,36,35,0.9722
16-20,4-6,low,neutral,67,66,0.9851
16-20,4-6,low,strong_advantage,23,22,0.9565
16-20,4-6,low,strong_disadvantage,25,25,1.0
16-20,4-6,neutral,moderate_advantage,35,29,0.8286
16-20,4-6,neutral,moderate_disadvantage,41,33,0.8049
16-20,4-6,neutral,neutral,55,47,0.8545
16-20,4-6,neutral,strong_advantage,31,27,0.871
16-20,4-6,neutral,strong_disadvantage,22,14,0.6364
16-20,4-6,very_high,moderate_advantage,239,48,0.2008
16-20,4-6,very_high,moderate_disadvantage,201,12,0.0597
16-20,4-6,very_high,neutral,274,60,0.219
16-20,4-6,very_high,strong_advantage,129,21,0.1628
16-20,4-6,very_high,strong_disadvantage,111,6,0.0541
16-20,4-6,very_low,moderate_advantage,132,112,0.8485
16-20,4-6,very_low,moderate_disadvantage,94,69,0.734
16-20,4-6,very_low,neutral,169,145,0.858
16-20,4-6,very_low,strong_advantage,67,53,0.791
16-20,4-6,very_low,strong_disadvantage,79,58,0.7342
16-20,7+,first_innings,moderate_advantage,222,75,0.3378
16-20,7+,first_innings,moderate_disadvantage,256,71,0.2773
16-20,7+,first_innings,neutral,321,64,0.1994
16-20,7+,first_innings,strong_advantage,122,42,0.3443
16-20,7+,first_innings,strong_disadvantage,137,35,0.2555
16-20,7+,high,moderate_advantage,9,1,0.1111
16-20,7+,high,moderate_disadvantage,16,3,0.1875
16-20,7+,high,neutral,10,3,0.3
16-20,7+,high,strong_advantage,7,2,0.2857
16-20,7+,high,strong_disadvantage,6,1,0.1667
16-20,7+,low,moderate_advantage,1,0,0.0
16-20,7+,low,moderate_disadvantage,9,4,0.4444
