over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,sample_size,batting_team_wins,win_probability,standard_error,ci_lower_95,ci_upper_95
4-6,2-3,neutral,moderate_advantage,38,11,0.2895,0.073572,0.1453,0.4337
4-6,2-3,neutral,moderate_disadvantage,54,25,0.463,0.067855,0.33,0.596
4-6,2-3,neutral,neutral,67,39,0.5821,0.060256,0.464,0.7002
4-6,2-3,neutral,strong_advantage,30,17,0.5667,0.090471,0.3894,0.744
4-6,2-3,neutral,strong_disadvantage,33,16,0.4848,0.086999,0.3143,0.6553
4-6,2-3,very_high,moderate_advantage,86,12,0.1395,0.037361,0.0663,0.2127
4-6,2-3,very_high,moderate_disadvantage,67,11,0.1642,0.045259,0.0755,0.2529
4-6,2-3,very_high,neutral,79,16,0.2025,0.045213,0.1139,0.2911
4-6,2-3,very_high,strong_advantage,33,6,0.1818,0.067138,0.0502,0.3134
4-6,2-3,very_high,strong_disadvantage,37,2,0.0541,0.03719,0.0,0.127
4-6,2-3,very_low,moderate_advantage,3,0,0.0,0.0,0.0,0.0
4-6,2-3,very_low,moderate_disadvantage,5,5,1.0,0.0,1.0,1.0
4-6,2-3,very_low,neutral,14,14,1.0,0.0,1.0,1.0
4-6,2-3,very_low,strong_advantage,3,1,0.3333,0.272159,0.0,0.8667
4-6,2-3,very_low,strong_disadvantage,6,6,1.0,0.0,1.0,1.0
4-6,4-6,first_innings,moderate_advantage,14,2,0.1429,0.093534,0.0,0.3262
4-6,4-6,first_innings,moderate_disadvantage,23,4,0.1739,0.079032,0.019,0.3288
4-6,4-6,first_innings,neutral,27,2,0.0741,0.050409,0.0,0.1729
4-6,4-6,first_innings,strong_advantage,11,2,0.1818,0.116287,0.0,0.4097
4-6,4-6,first_innings,strong_disadvantage,7,3,0.4286,0.187045,0.062,0.7952
4-6,4-6,high,moderate_advantage,10,0,0.0,0.0,0.0,0.0
4-6,4-6,high,moderate_disadvantage,3,0,0.0,0.0,0.0,0.0
4-6,4-6,high,neutral,11,4,0.3636,0.145038,0.0793,0.6479
4-6,4-6,high,strong_advantage,3,1,0.3333,0.272159,0.0,0.8667
4-6,4-6,high,strong_disadvantage,6,0,0.0,0.0,0.0,0.0
4-6,4-6,low,moderate_disadvantage,2,2,1.0,0.0,1.0,1.0
4-6,4-6,low,neutral,1,0,0.0,0.0,0.0,0.0
4-6,4-6,low,strong_disadvantage,2,2,1.0,0.0,1.0,1.0
4-6,4-6,neutral,moderate_advantage,1,0,0.0,0.0,0.0,0.0
4-6,4-6,neutral,moderate_disadvantage,3,0,0.0,0.0,0.0,0.0
4-6,4-6,neutral,neutral,9,1,0.1111,0.104752,0.0,0.3164
4-6,4-6,neutral,strong_disadvantage,2,0,0.0,0.0,0.0,0.0
4-6,4-6,very_high,moderate_advantage,6,3,0.5,0.204124,0.0999,0.9001
4-6,4-6,very_high,moderate_disadvantage,16,0,0.0,0.0,0.0,0.0
4-6,4-6,very_high,neutral,9,0,0.0,0.0,0.0,0.0
4-6,4-6,very_high,strong_advantage,2,1,0.5,0.353553,0.0,1.0
4-6,4-6,very_high,strong_disadvantage,8,0,0.0,0.0,0.0,0.0
4-6,4-6,very_low,strong_disadvantage,1,1,1.0,0.0,1.0,1.0
7-10,0-1,first_innings,moderate_advantage,395,249,0.6304,0.024287,0.5828,0.678
7-10,0-1,first_innings,moderate_disadvantage,391,213,0.5448,0.025184,0.4954,0.5942
7-10,0-1,first_innings,neutral,508,283,0.5571,0.022039,0.5139,0.6003
7-10,0-1,first_innings,strong_advantage,301,184,0.6113,0.028096,0.5562,0.6664
7-10,0-1,first_innings,strong_disadvantage,226,105,0.4646,0.033176,0.3996,0.5296
7-10,0-1,high,moderate_advantage,95,69,0.7263,0.045744,0.6366,0.816
7-10,0-1,high,moderate_disadvantage,107,57,0.5327,0.048233,0.4382,0.6272
7-10,0-1,high,neutral,125,70,0.56,0.044398,0.473,0.647
7-10,0-1,high,strong_advantage,39,18,0.4615,0.079826,0.305,0.618
7-10,0-1,high,strong_disadvantage,57,39,0.6842,0.061569,0.5635,0.8049
7-10,0-1,low,moderate_advantage,106,91,0.8585,0.033853,0.7921,0.9249
7-10,0-1,low,moderate_disadvantage,84,68,0.8095,0.042847,0.7255,0.8935
7-10,0-1,low,neutral,169,150,0.8876,0.024297,0.84,0.9352
7-10,0-1,low,strong_advantage,68,61,0.8971,0.036845,0.8249,0.9693
7-10,0-1,low,strong_disadvantage,59,55,0.9322,0.03273,0.868,0.9964
7-10,0-1,neutral,moderate_advantage,140,109,0.7786,0.03509,0.7098,0.8474
7-10,0-1,neutral,moderate_disadvantage,135,99,0.7333,0.038061,0.6587,0.8079
7-10,0-1,neutral,neutral,86,57,0.6628,0.050978,0.5629,0.7627
7-10,0-1,neutral,strong_advantage,96,71,0.7396,0.04479,0.6518,0.8274
7-10,0-1,neutral,strong_disadvantage,60,41,0.6833,0.060056,0.5656,0.801
7-10,0-1,very_high,moderate_advantage,19,9,0.4737,0.114549,0.2492,0.6982
7-10,0-1,very_high,moderate_disadvantage,27,7,0.2593,0.084341,0.094,0.4246
7-10,0-1,very_high,neutral,26,3,0.1154,0.06266,0.0,0.2382
7-10,0-1,very_high,strong_advantage,4,1,0.25,0.216506,0.0,0.6744
7-10,0-1,very_high,strong_disadvantage,9,3,0.3333,0.157131,0.0253,0.6413
7-10,0-1,very_low,moderate_advantage,47,47,1.0,0.0,1.0,1.0
7-10,0-1,very_low,moderate_disadvantage,26,26,1.0,0.0,1.0,1.0
7-10,0-1,very_low,neutral,61,60,0.9836,0.016262,0.9517,1.0
7-10,0-1,very_low,strong_advantage,31,31,1.0,0.0,1.0,1.0
7-10,0-1,very_low,strong_disadvantage,27,27,1.0,0.0,1.0,1.0
7-10,2-3,first_innings,moderate_advantage,472,223,0.4725,0.02298,0.4275,0.5175
7-10,2-3,first_innings,moderate_disadvantage,512,235,0.459,0.022023,0.4158,0.5022
7-10,2-3,first_innings,neutral,645,257,0.3984,0.019277,0.3606,0.4362
7-10,2-3,first_innings,strong_advantage,256,109,0.4258,0.030904,0.3652,0.4864
7-10,2-3,first_innings,strong_disadvantage,274,114,0.4161,0.029778,0.3577,0.4745
7-10,2-3,high,moderate_advantage,225,73,0.3244,0.03121,0.2632,0.3856
7-10,2-3,high,moderate_disadvantage,176,71,0.4034,0.036979,0.3309,0.4759
7-10,2-3,high,neutral,257,129,0.5019,0.031189,0.4408,0.563
7-10,2-3,high,strong_advantage,103,42,0.4078,0.048422,0.3129,0.5027
7-10,2-3,high,strong_disadvantage,103,25,0.2427,0.042243,0.1599,0.3255
7-10,2-3,low,moderate_advantage,70,54,0.7714,0.050191,0.673,0.8698
7-10,2-3,low,moderate_disadvantage,62,48,0.7742,0.0531,0.6701,0.8783
7-10,2-3,low,neutral,124,109,0.879,0.029287,0.8216,0.9364
7-10,2-3,low,strong_advantage,27,27,1.0,0.0,1.0,1.0
7-10,2-3,low,strong_disadvantage,35,30,0.8571,0.059156,0.7412,0.973
7-10,2-3,neutral,moderate_advantage,87,47,0.5402,0.053432,0.4355,0.6449
7-10,2-3,neutral,moderate_disadvantage,114,54,0.4737,0.046764,0.382,0.5654
7-10,2-3,neutral,neutral,143,97,0.6783,0.039063,0.6017,0.7549
7-10,2-3,neutral,strong_advantage,58,40,0.6897,0.060745,0.5706,0.8088
7-10,2-3,neutral,strong_disadvantage,71,39,0.5493,0.05905,0.4336,0.665
7-10,2-3,very_high,moderate_advantage,91,16,0.1758,0.039903,0.0976,0.254
7-10,2-3,very_high,moderate_disadvantage,90,11,0.1222,0.034523,0.0545,0.1899
7-10,2-3,very_high,neutral,113,20,0.177,0.035904,0.1066,0.2474
7-10,2-3,very_high,strong_advantage,56,3,0.0536,0.030097,0.0,0.1126
7-10,2-3,very_high,strong_disadvantage,62,3,0.0484,0.027255,0.0,0.1018
7-10,2-3,very_low,moderate_advantage,25,22,0.88,0.064992,0.7526,1.0
7-10,2-3,very_low,moderate_disadvantage,13,13,1.0,0.0,1.0,1.0
7-10,2-3,very_low,neutral,26,26,1.0,0.0,1.0,1.0
7-10,2-3,very_low,strong_advantage,19,16,0.8421,0.083656,0.6781,1.0
7-10,2-3,very_low,strong_disadvantage,17,17,1.0,0.0,1.0,1.0
7-10,4-6,first_innings,moderate_advantage,110,28,0.2545,0.041531,0.1731,0.3359
7-10,4-6,first_innings,moderate_disadvantage,119,24,0.2017,0.036784,0.1296,0.2738
7-10,4-6,first_innings,neutral,179,24,0.1341,0.02547,0.0842,0.184
7-10,4-6,first_innings,strong_advantage,43,11,0.2558,0.066537,0.1254,0.3862
7-10,4-6,first_innings,strong_disadvantage,56,15,0.2679,0.05918,0.1519,0.3839
7-10,4-6,high,moderate_advantage,43,5,0.1163,0.048889,0.0205,0.2121
7-10,4-6,high,moderate_disadvantage,48,4,0.0833,0.039886,0.0051,0.1615
7-10,4-6,high,neutral,60,23,0.3833,0.062767,0.2603,0.5063
7-10,4-6,high,strong_advantage,28,7,0.25,0.081832,0.0896,0.4104
7-10,4-6,high,strong_disadvantage,37,8,0.2162,0.067675,0.0836,0.3488
7-10,4-6,low,moderate_advantage,2,0,0.0,0.0,0.0,0.0
7-10,4-6,low,moderate_disadvantage,6,6,1.0,0.0,1.0,1.0
7-10,4-6,low,neutral,5,2,0.4,0.219089,0.0,0.8294
7-10,4-6,low,strong_advantage,2,1,0.5,0.353553,0.0,1.0
7-10,4-6,low,strong_disadvantage,3,3,1.0,0.0,1.0,1.0
7-10,4-6,neutral,moderate_advantage,9,5,0.5556,0.165633,0.231,0.8802
7-10,4-6,neutral,moderate_disadvantage,11,2,0.1818,0.116287,0.0,0.4097
7-10,4-6,neutral,neutral,24,7,0.2917,0.092784,0.1098,0.4736
7-10,4-6,neutral,strong_advantage,1,1,1.0,0.0,1.0,1.0
7-10,4-6,neutral,strong_disadvantage,4,1,0.25,0.216506,0.0,0.6744
7-10,4-6,very_high,moderate_advantage,60,4,0.0667,0.032211,0.0036,0.1298
7-10,4-6,very_high,moderate_disadvantage,69,7,0.1014,0.036339,0.0302,0.1726
7-10,4-6,very_high,neutral,95,6,0.0632,0.024964,0.0143,0.1121
7-10,4-6,very_high,strong_advantage,23,4,0.1739,0.079032,0.019,0.3288
7-10,4-6,very_high,strong_disadvantage,48,1,0.0208,0.020599,0.0,0.0612
7-10,4-6,very_low,moderate_advantage,4,1,0.25,0.216506,0.0,0.6744
7-10,4-6,very_low,moderate_disadvantage,5,5,1.0,0.0,1.0,1.0
7-10,4-6,very_low,strong_advantage,2,0,0.0,0.0,0.0,0.0
7-10,4-6,very_low,strong_disadvantage,3,3,1.0,0.0,1.0,1.0
7-10,7+,first_innings,moderate_advantage,3,0,0.0,0.0,0.0,0.0
7-10,7+,first_innings,moderate_disadvantage,2,0,0.0,0.0,0.0,0.0
7-10,7+,first_innings,strong_disadvantage,2,0,0.0,0.0,0.0,0.0
7-10,7+,high,moderate_disadvantage,3,0,0.0,0.0,0.0,0.0
7-10,7+,high,neutral,1,0,0.0,0.0,0.0,0.0
7-10,7+,very_high,moderate_advantage,1,0,0.0,0.0,0.0,0.0
7-10,7+,very_high,moderate_disadvantage,2,0,0.0,0.0,0.0,0.0
7-10,7+,very_high,neutral,8,0,0.0,0.0,0.0,0.0
7-10,7+,very_high,strong_disadvantage,4,0,0.0,0.0,0.0,0.0
