over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,sample_size,batting_team_wins,win_probability,standard_error,ci_lower_95,ci_upper_95
11-15,0-1,low,moderate_advantage,67,67,1.0,0.0,1.0,1.0
11-15,0-1,low,moderate_disadvantage,49,43,0.8776,0.046821,0.7858,0.9694
11-15,0-1,low,neutral,78,75,0.9615,0.021785,0.9188,1.0
11-15,0-1,low,strong_advantage,33,33,1.0,0.0,1.0,1.0
11-15,0-1,low,strong_disadvantage,27,27,1.0,0.0,1.0,1.0
11-15,0-1,neutral,moderate_advantage,47,38,0.8085,0.057395,0.696,0.921
11-15,0-1,neutral,moderate_disadvantage,69,60,0.8696,0.040539,0.7901,0.9491
11-15,0-1,neutral,neutral,30,25,0.8333,0.068047,0.6999,0.9667
11-15,0-1,neutral,strong_advantage,15,15,1.0,0.0,1.0,1.0
11-15,0-1,neutral,strong_disadvantage,28,25,0.8929,0.058441,0.7784,1.0
11-15,0-1,very_high,moderate_advantage,1,1,1.0,0.0,1.0,1.0
11-15,0-1,very_high,moderate_disadvantage,6,2,0.3333,0.192445,0.0,0.7105
11-15,0-1,very_high,neutral,5,0,0.0,0.0,0.0,0.0
11-15,0-1,very_high,strong_advantage,1,1,1.0,0.0,1.0,1.0
11-15,0-1,very_high,strong_disadvantage,2,2,1.0,0.0,1.0,1.0
11-15,0-1,very_low,moderate_advantage,50,50,1.0,0.0,1.0,1.0
11-15,0-1,very_low,moderate_disadvantage,20,20,1.0,0.0,1.0,1.0
11-15,0-1,very_low,neutral,59,59,1.0,0.0,1.0,1.0
11-15,0-1,very_low,strong_advantage,22,22,1.0,0.0,1.0,1.0
11-15,0-1,very_low,strong_disadvantage,24,24,1.0,0.0,1.0,1.0
11-15,2-3,first_innings,moderate_advantage,561,334,0.5954,0.020722,0.5548,0.636
11-15,2-3,first_innings,moderate_disadvantage,592,331,0.5591,0.020406,0.5191,0.5991
11-15,2-3,first_innings,neutral,846,399,0.4716,0.017163,0.438,0.5052
11-15,2-3,first_innings,strong_advantage,411,220,0.5353,0.024602,0.4871,0.5835
11-15,2-3,first_innings,strong_disadvantage,352,174,0.4943,0.026648,0.4421,0.5465
11-15,2-3,high,moderate_advantage,186,93,0.5,0.036662,0.4281,0.5719
11-15,2-3,high,moderate_disadvantage,166,72,0.4337,0.038465,0.3583,0.5091
11-15,2-3,high,neutral,222,141,0.6351,0.03231,0.5718,0.6984
11-15,2-3,high,strong_advantage,134,74,0.5522,0.042957,0.468,0.6364
11-15,2-3,high,strong_disadvantage,76,39,0.5132,0.057334,0.4008,0.6256
11-15,2-3,low,moderate_advantage,80,72,0.9,0.033541,0.8343,0.9657
11-15,2-3,low,moderate_disadvantage,101,92,0.9109,0.028347,0.8553,0.9665
11-15,2-3,low,neutral,175,161,0.92,0.020508,0.8798,0.9602
11-15,2-3,low,strong_advantage,70,67,0.9571,0.024219,0.9096,1.0
11-15,2-3,low,strong_disadvantage,62,58,0.9355,0.031197,0.8744,0.9966
11-15,2-3,neutral,moderate_advantage,136,100,0.7353,0.03783,0.6612,0.8094
11-15,2-3,neutral,moderate_disadvantage,108,73,0.6759,0.045037,0.5876,0.7642
11-15,2-3,neutral,neutral,180,143,0.7944,0.030123,0.7354,0.8534
11-15,2-3,neutral,strong_advantage,74,55,0.7432,0.050785,0.6437,0.8427
11-15,2-3,neutral,strong_disadvantage,81,61,0.7531,0.047912,0.6592,0.847
11-15,2-3,very_high,moderate_advantage,109,39,0.3578,0.045914,0.2678,0.4478
11-15,2-3,very_high,moderate_disadvantage,79,16,0.2025,0.045213,0.1139,0.2911
11-15,2-3,very_high,neutral,119,28,0.2353,0.038885,0.1591,0.3115
11-15,2-3,very_high,strong_advantage,52,5,0.0962,0.04089,0.0161,0.1763
11-15,2-3,very_high,strong_disadvantage,59,3,0.0508,0.028588,0.0,0.1068
11-15,2-3,very_low,moderate_advantage,50,50,1.0,0.0,1.0,1.0
11-15,2-3,very_low,moderate_disadvantage,46,46,1.0,0.0,1.0,1.0
11-15,2-3,very_low,neutral,65,65,1.0,0.0,1.0,1.0
11-15,2-3,very_low,strong_advantage,34,34,1.0,0.0,1.0,1.0
11-15,2-3,very_low,strong_disadvantage,46,46,1.0,0.0,1.0,1.0
11-15,4-6,first_innings,moderate_advantage,419,149,0.3556,0.023386,0.3098,0.4014
11-15,4-6,first_innings,moderate_disadvantage,463,149,0.3218,0.021711,0.2792,0.3644
11-15,4-6,first_innings,neutral,554,153,0.2762,0.018996,0.239,0.3134
11-15,4-6,first_innings,strong_advantage,183,66,0.3607,0.035498,0.2911,0.4303
11-15,4-6,first_innings,strong_disadvantage,235,72,0.3064,0.030072,0.2475,0.3653
11-15,4-6,high,moderate_advantage,126,30,0.2381,0.037944,0.1637,0.3125
11-15,4-6,high,moderate_disadvantage,126,43,0.3413,0.04224,0.2585,0.4241
11-15,4-6,high,neutral,149,58,0.3893,0.039945,0.311,0.4676
11-15,4-6,high,strong_advantage,53,26,0.4906,0.068668,0.356,0.6252
11-15,4-6,high,strong_disadvantage,85,25,0.2941,0.049421,0.1972,0.391
11-15,4-6,low,moderate_advantage,27,27,1.0,0.0,1.0,1.0
11-15,4-6,low,moderate_disadvantage,19,12,0.6316,0.110663,0.4147,0.8485
11-15,4-6,low,neutral,35,29,0.8286,0.063701,0.7037,0.9535
11-15,4-6,low,strong_advantage,10,7,0.7,0.144914,0.416,0.984
11-15,4-6,low,strong_disadvantage,8,7,0.875,0.116927,0.6458,1.0
11-15,4-6,neutral,moderate_advantage,43,25,0.5814,0.075232,0.4339,0.7289
11-15,4-6,neutral,moderate_disadvantage,48,24,0.5,0.072169,0.3585,0.6415
11-15,4-6,neutral,neutral,57,43,0.7544,0.057013,0.6427,0.8661
