over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,sample_size,batting_team_wins,win_probability,standard_error,ci_lower_95,ci_upper_95,final_stabilized_probability,fallback_level
11-15,2-3,first_innings,moderate_advantage,561,334,0.5954,0.020722,0.5548,0.636,0.5954,1
11-15,2-3,first_innings,moderate_disadvantage,592,331,0.5591,0.020406,0.5191,0.5991,0.5591,1
11-15,2-3,first_innings,neutral,846,399,0.4716,0.017163,0.438,0.5052,0.4716,1
11-15,2-3,first_innings,strong_advantage,411,220,0.5353,0.024602,0.4871,0.5835,0.5353,1
11-15,2-3,first_innings,strong_disadvantage,352,174,0.4943,0.026648,0.4421,0.5465,0.4943,1
11-15,2-3,high,moderate_advantage,186,93,0.5,0.036662,0.4281,0.5719,0.5,1
11-15,2-3,high,moderate_disadvantage,166,72,0.4337,0.038465,0.3583,0.5091,0.4337,1
11-15,2-3,high,neutral,222,141,0.6351,0.03231,0.5718,0.6984,0.6351,1
11-15,2-3,high,strong_advantage,134,74,0.5522,0.042957,0.468,0.6364,0.5522,1
11-15,2-3,high,strong_disadvantage,76,39,0.5132,0.057334,0.4008,0.6256,0.5132,1
11-15,2-3,low,moderate_advantage,80,72,0.9,0.033541,0.8343,0.9657,0.9,1
11-15,2-3,low,moderate_disadvantage,101,92,0.9109,0.028347,0.8553,0.9665,0.9109,1
11-15,2-3,low,neutral,175,161,0.92,0.020508,0.8798,0.9602,0.92,1
11-15,2-3,low,strong_advantage,70,67,0.9571,0.024219,0.9096,1.0,0.9571,1
11-15,2-3,low,strong_disadvantage,62,58,0.9355,0.031197,0.8744,0.9966,0.9355,1
11-15,2-3,neutral,moderate_advantage,136,100,0.7353,0.03783,0.6612,0.8094,0.7353,1
11-15,2-3,neutral,moderate_disadvantage,108,73,0.6759,0.045037,0.5876,0.7642,0.6759,1
11-15,2-3,neutral,neutral,180,143,0.7944,0.030123,0.7354,0.8534,0.7944,1
11-15,2-3,neutral,strong_advantage,74,55,0.7432,0.050785,0.6437,0.8427,0.7432,1
11-15,2-3,neutral,strong_disadvantage,81,61,0.7531,0.047912,0.6592,0.847,0.7531,1
11-15,2-3,very_high,moderate_advantage,109,39,0.3578,0.045914,0.2678,0.4478,0.3578,1
11-15,2-3,very_high,moderate_disadvantage,79,16,0.2025,0.045213,0.1139,0.2911,0.2025,1
11-15,2-3,very_high,neutral,119,28,0.2353,0.038885,0.1591,0.3115,0.2353,1
11-15,2-3,very_high,strong_advantage,52,5,0.0962,0.04089,0.0161,0.1763,0.0962,1
11-15,2-3,very_high,strong_disadvantage,59,3,0.0508,0.028588,0.0,0.1068,0.0508,1
11-15,2-3,very_low,moderate_advantage,50,50,1.0,0.0,1.0,1.0,1.0,1
11-15,2-3,very_low,moderate_disadvantage,46,46,1.0,0.0,1.0,1.0,1.0,2
11-15,2-3,very_low,neutral,65,65,1.0,0.0,1.0,1.0,1.0,1
11-15,2-3,very_low,strong_advantage,34,34,1.0,0.0,1.0,1.0,1.0,2
11-15,2-3,very_low,strong_disadvantage,46,46,1.0,0.0,1.0,1.0,1.0,2
11-15,4-6,first_innings,moderate_advantage,419,149,0.3556,0.023386,0.3098,0.4014,0.3556,1
11-15,4-6,first_innings,moderate_disadvantage,463,149,0.3218,0.021711,0.2792,0.3644,0.3218,1
11-15,4-6,first_innings,neutral,554,153,0.2762,0.018996,0.239,0.3134,0.2762,1
11-15,4-6,first_innings,strong_advantage,183,66,0.3607,0.035498,0.2911,0.4303,0.3607,1
11-15,4-6,first_innings,strong_disadvantage,235,72,0.3064,0.030072,0.2475,0.3653,0.3064,1
11-15,4-6,high,moderate_advantage,126,30,0.2381,0.037944,0.1637,0.3125,0.2381,1
11-15,4-6,high,moderate_disadvantage,126,43,0.3413,0.04224,0.2585,0.4241,0.3413,1
11-15,4-6,high,neutral,149,58,0.3893,0.039945,0.311,0.4676,0.3893,1
11-15,4-6,high,strong_advantage,53,26,0.4906,0.068668,0.356,0.6252,0.4906,1
11-15,4-6,high,strong_disadvantage,85,25,0.2941,0.049421,0.1972,0.391,0.2941,1
11-15,4-6,low,moderate_advantage,27,27,1.0,0.0,1.0,1.0,0.8283,2
11-15,4-6,low,moderate_disadvantage,19,12,0.6316,0.110663,0.4147,0.8485,0.8283,2
11-15,4-6,low,neutral,35,29,0.8286,0.063701,0.7037,0.9535,0.8283,2
11-15,4-6,low,strong_advantage,10,7,0.7,0.144914,0.416,0.984,0.8283,2
11-15,4-6,low,strong_disadvantage,8,7,0.875,0.116927,0.6458,1.0,0.8283,2
11-15,4-6,neutral,moderate_advantage,43,25,0.5814,0.075232,0.4339,0.7289,0.6298,2
11-15,4-6,neutral,moderate_disadvantage,48,24,0.5,0.072169,0.3585,0.6415,0.6298,2
11-15,4-6,neutral,neutral,57,43,0.7544,0.057013,0.6427,0.8661,0.7544,1
11-15,4-6,neutral,strong_advantage,19,13,0.6842,0.10664,0.4752,0.8932,0.6298,2
11-15,4-6,neutral,strong_disadvantage,14,9,0.6429,0.128057,0.3919,0.8939,0.6298,2
11-15,4-6,very_high,moderate_advantage,241,26,0.1079,0.019985,0.0687,0.1471,0.1079,1
11-15,4-6,very_high,moderate_disadvantage,237,25,0.1055,0.019955,0.0664,0.1446,0.1055,1
11-15,4-6,very_high,neutral,301,47,0.1561,0.02092,0.1151,0.1971,0.1561,1
11-15,4-6,very_high,strong_advantage,126,23,0.1825,0.03441,0.1151,0.2499,0.1825,1
11-15,4-6,very_high,strong_disadvantage,158,0,0.0,0.0,0.0,0.0,0.0,1
11-15,4-6,very_low,moderate_advantage,29,29,1.0,0.0,1.0,1.0,0.9868,2
11-15,4-6,very_low,moderate_disadvantage,22,21,0.9545,0.044431,0.8674,1.0,0.9868,2
11-15,4-6,very_low,neutral,14,14,1.0,0.0,1.0,1.0,0.9868,2
11-15,4-6,very_low,strong_advantage,1,1,1.0,0.0,1.0,1.0,0.9868,2
11-15,4-6,very_low,strong_disadvantage,10,10,1.0,0.0,1.0,1.0,0.9868,2
11-15,7+,first_innings,moderate_advantage,31,1,0.0323,0.031753,0.0,0.0945,0.0692,2
11-15,7+,first_innings,moderate_disadvantage,22,0,0.0,0.0,0.0,0.0,0.0692,2
11-15,7+,first_innings,neutral,38,2,0.0526,0.036213,0.0,0.1236,0.0692,2
11-15,7+,first_innings,strong_advantage,17,1,0.0588,0.057057,0.0,0.1706,0.0692,2
11-15,7+,first_innings,strong_disadvantage,22,5,0.2273,0.08935,0.0522,0.4024,0.0692,2
11-15,7+,high,moderate_disadvantage,8,0,0.0,0.0,0.0,0.0,0.0302,3
11-15,7+,high,neutral,9,1,0.1111,0.104752,0.0,0.3164,0.0302,3
11-15,7+,high,strong_advantage,4,0,0.0,0.0,0.0,0.0,0.0302,3
11-15,7+,low,strong_advantage,4,0,0.0,0.0,0.0,0.0,0.0302,3
11-15,7+,neutral,moderate_disadvantage,2,0,0.0,0.0,0.0,0.0,0.0302,3
11-15,7+,neutral,neutral,1,0,0.0,0.0,0.0,0.0,0.0302,3
11-15,7+,very_high,moderate_advantage,36,0,0.0,0.0,0.0,0.0,0.0049,2
11-15,7+,very_high,moderate_disadvantage,52,0,0.0,0.0,0.0,0.0,0.0,1
11-15,7+,very_high,neutral,81,1,0.0123,0.012247,0.0,0.0363,0.0123,1
11-15,7+,very_high,strong_advantage,9,0,0.0,0.0,0.0,0.0,0.0049,2
11-15,7+,very_high,strong_disadvantage,28,0,0.0,0.0,0.0,0.0,0.0049,2
16-20,0-1,first_innings,moderate_advantage,32,18,0.5625,0.087695,0.3906,0.7344,0.7266,2
16-20,0-1,first_innings,moderate_disadvantage,34,21,0.6176,0.083344,0.4542,0.781,0.7266,2
16-20,0-1,first_innings,neutral,44,40,0.9091,0.043337,0.8242,0.994,0.7266,2
16-20,0-1,first_innings,strong_advantage,18,15,0.8333,0.087848,0.6611,1.0,0.7266,2
16-20,0-1,first_innings,strong_disadvantage,11,7,0.6364,0.145038,0.3521,0.9207,0.7266,2
16-20,0-1,high,moderate_disadvantage,2,2,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,high,neutral,1,0,0.0,0.0,0.0,0.0,0.8445,3
16-20,0-1,high,strong_advantage,1,1,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,high,strong_disadvantage,1,0,0.0,0.0,0.0,0.0,0.8445,3
16-20,0-1,low,moderate_advantage,12,12,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,low,moderate_disadvantage,11,11,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,low,neutral,1,1,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,low,strong_advantage,3,3,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,low,strong_disadvantage,7,5,0.7143,0.170744,0.3796,1.0,0.8445,3
16-20,0-1,neutral,moderate_advantage,4,4,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,neutral,moderate_disadvantage,6,6,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,neutral,neutral,3,1,0.3333,0.272159,0.0,0.8667,0.8445,3
16-20,0-1,neutral,strong_advantage,1,1,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,neutral,strong_disadvantage,3,3,1.0,0.0,1.0,1.0,0.8445,3
16-20,0-1,very_low,moderate_advantage,28,28,1.0,0.0,1.0,1.0,1.0,2
16-20,0-1,very_low,moderate_disadvantage,18,18,1.0,0.0,1.0,1.0,1.0,2
16-20,0-1,very_low,neutral,18,18,1.0,0.0,1.0,1.0,1.0,2
16-20,0-1,very_low,strong_advantage,12,12,1.0,0.0,1.0,1.0,1.0,2
16-20,0-1,very_low,strong_disadvantage,12,12,1.0,0.0,1.0,1.0,1.0,2
16-20,2-3,first_innings,moderate_advantage,277,207,0.7473,0.02611,0.6961,0.7985,0.7473,1
16-20,2-3,first_innings,moderate_disadvantage,290,161,0.5552,0.029182,0.498,0.6124,0.5552,1
16-20,2-3,first_innings,neutral,332,184,0.5542,0.027279,0.5007,0.6077,0.5542,1
16-20,2-3,first_innings,strong_advantage,203,119,0.5862,0.034568,0.5184,0.654,0.5862,1
16-20,2-3,first_innings,strong_disadvantage,147,74,0.5034,0.041238,0.4226,0.5842,0.5034,1
16-20,2-3,high,moderate_advantage,25,17,0.68,0.093295,0.4971,0.8629,0.7348,2
16-20,2-3,high,moderate_disadvantage,32,22,0.6875,0.081938,0.5269,0.8481,0.7348,2
16-20,2-3,high,neutral,40,31,0.775,0.066026,0.6456,0.9044,0.7348,2
16-20,2-3,high,strong_advantage,17,13,0.7647,0.10288,0.5631,0.9663,0.7348,2
16-20,2-3,high,strong_disadvantage,18,14,0.7778,0.097987,0.5857,0.9699,0.7348,2
16-20,2-3,low,moderate_advantage,43,42,0.9767,0.023005,0.9316,1.0,0.965,2
16-20,2-3,low,moderate_disadvantage,50,47,0.94,0.033586,0.8742,1.0,0.94,1
16-20,2-3,low,neutral,63,61,0.9683,0.022073,0.925,1.0,0.9683,1
16-20,2-3,low,strong_advantage,21,21,1.0,0.0,1.0,1.0,0.965,2
16-20,2-3,low,strong_disadvantage,23,22,0.9565,0.042533,0.8731,1.0,0.965,2
16-20,2-3,neutral,moderate_advantage,37,29,0.7838,0.067675,0.6512,0.9164,0.9009,2
16-20,2-3,neutral,moderate_disadvantage,24,22,0.9167,0.056407,0.8061,1.0,0.9009,2
16-20,2-3,neutral,neutral,25,25,1.0,0.0,1.0,1.0,0.9009,2
16-20,2-3,neutral,strong_advantage,15,15,1.0,0.0,1.0,1.0,0.9009,2
16-20,2-3,neutral,strong_disadvantage,10,9,0.9,0.094868,0.7141,1.0,0.9009,2
16-20,2-3,very_high,moderate_advantage,16,10,0.625,0.121031,0.3878,0.8622,0.3429,2
16-20,2-3,very_high,moderate_disadvantage,25,8,0.32,0.093295,0.1371,0.5029,0.3429,2
16-20,2-3,very_high,neutral,23,7,0.3043,0.09594,0.1163,0.4923,0.3429,2
16-20,2-3,very_high,strong_advantage,17,6,0.3529,0.115901,0.1257,0.5801,0.3429,2
16-20,2-3,very_high,strong_disadvantage,24,5,0.2083,0.082893,0.0458,0.3708,0.3429,2
16-20,2-3,very_low,moderate_advantage,56,56,1.0,0.0,1.0,1.0,1.0,1
16-20,2-3,very_low,moderate_disadvantage,95,93,0.9789,0.014745,0.95,1.0,0.9789,1
16-20,2-3,very_low,neutral,119,118,0.9916,0.008366,0.9752,1.0,0.9916,1
16-20,2-3,very_low,strong_advantage,48,47,0.9792,0.020599,0.9388,1.0,0.989,2
16-20,2-3,very_low,strong_disadvantage,47,47,1.0,0.0,1.0,1.0,0.989,2
16-20,4-6,first_innings,moderate_advantage,670,321,0.4791,0.0193,0.4413,0.5169,0.4791,1
16-20,4-6,first_innings,moderate_disadvantage,677,332,0.4904,0.019213,0.4527,0.5281,0.4904,1
16-20,4-6,first_innings,neutral,933,412,0.4416,0.016257,0.4097,0.4735,0.4416,1
16-20,4-6,first_innings,strong_advantage,394,201,0.5102,0.025184,0.4608,0.5596,0.5102,1
16-20,4-6,first_innings,strong_disadvantage,388,170,0.4381,0.025188,0.3887,0.4875,0.4381,1
16-20,4-6,high,moderate_advantage,80,41,0.5125,0.055884,0.403,0.622,0.5125,1
16-20,4-6,high,moderate_disadvantage,74,33,0.4459,0.057783,0.3326,0.5592,0.4459,1
16-20,4-6,high,neutral,87,62,0.7126,0.048518,0.6175,0.8077,0.7126,1
16-20,4-6,high,strong_advantage,54,33,0.6111,0.06634,0.4811,0.7411,0.6111,1
16-20,4-6,high,strong_disadvantage,50,21,0.42,0.0698,0.2832,0.5568,0.42,1
16-20,4-6,low,moderate_advantage,43,41,0.9535,0.032111,0.8906,1.0,0.9742,2
16-20,4-6,low,moderate_disadvantage,36,35,0.9722,0.0274,0.9185,1.0,0.9742,2
16-20,4-6,low,neutral,67,66,0.9851,0.014801,0.9561,1.0,0.9851,1
16-20,4-6,low,strong_advantage,23,22,0.9565,0.042533,0.8731,1.0,0.9742,2
16-20,4-6,low,strong_disadvantage,25,25,1.0,0.0,1.0,1.0,0.9742,2
16-20,4-6,neutral,moderate_advantage,35,29,0.8286,0.063701,0.7037,0.9535,0.8152,2
16-20,4-6,neutral,moderate_disadvantage,41,33,0.8049,0.061888,0.6836,0.9262,0.8152,2
16-20,4-6,neutral,neutral,55,47,0.8545,0.047545,0.7613,0.9477,0.8545,1
16-20,4-6,neutral,strong_advantage,31,27,0.871,0.060204,0.753,0.989,0.8152,2
16-20,4-6,neutral,strong_disadvantage,22,14,0.6364,0.102557,0.4354,0.8374,0.8152,2
16-20,4-6,very_high,moderate_advantage,239,48,0.2008,0.025913,0.15,0.2516,0.2008,1
16-20,4-6,very_high,moderate_disadvantage,201,12,0.0597,0.016712,0.0269,0.0925,0.0597,1
16-20,4-6,very_high,neutral,274,60,0.219,0.024985,0.17,0.268,0.219,1
16-20,4-6,very_high,strong_advantage,129,21,0.1628,0.032505,0.0991,0.2265,0.1628,1
16-20,4-6,very_high,strong_disadvantage,111,6,0.0541,0.021471,0.012,0.0962,0.0541,1
16-20,4-6,very_low,moderate_advantage,132,112,0.8485,0.031207,0.7873,0.9097,0.8485,1
16-20,4-6,very_low,moderate_disadvantage,94,69,0.734,0.045575,0.6447,0.8233,0.734,1
16-20,4-6,very_low,neutral,169,145,0.858,0.02685,0.8054,0.9106,0.858,1
16-20,4-6,very_low,strong_advantage,67,53,0.791,0.049673,0.6936,0.8884,0.791,1
16-20,4-6,very_low,strong_disadvantage,79,58,0.7342,0.049702,0.6368,0.8316,0.7342,1
16-20,7+,first_innings,moderate_advantage,222,75,0.3378,0.031743,0.2756,0.4,0.3378,1
16-20,7+,first_innings,moderate_disadvantage,256,71,0.2773,0.027979,0.2225,0.3321,0.2773,1
16-20,7+,first_innings,neutral,321,64,0.1994,0.022301,0.1557,0.2431,0.1994,1
16-20,7+,first_innings,strong_advantage,122,42,0.3443,0.043017,0.26,0.4286,0.3443,1
16-20,7+,first_innings,strong_disadvantage,137,35,0.2555,0.037262,0.1825,0.3285,0.2555,1
16-20,7+,high,moderate_advantage,9,1,0.1111,0.104752,0.0,0.3164,0.1702,3
16-20,7+,high,moderate_disadvantage,16,3,0.1875,0.097578,0.0,0.3788,0.1702,3
16-20,7+,high,neutral,10,3,0.3,0.144914,0.016,0.584,0.1702,3
16-20,7+,high,strong_advantage,7,2,0.2857,0.170744,0.0,0.6204,0.1702,3
16-20,7+,high,strong_disadvantage,6,1,0.1667,0.152157,0.0,0.4649,0.1702,3
16-20,7+,low,moderate_advantage,1,0,0.0,0.0,0.0,0.0,0.1702,3
16-20,7+,low,moderate_disadvantage,9,4,0.4444,0.165633,0.1198,0.769,0.1702,3
16-20,7+,low,neutral,6,6,1.0,0.0,1.0,1.0,0.1702,3
16-20,7+,low,strong_advantage,5,4,0.8,0.178885,0.4494,1.0,0.1702,3
16-20,7+,low,strong_disadvantage,2,2,1.0,0.0,1.0,1.0,0.1702,3
16-20,7+,neutral,moderate_advantage,3,2,0.6667,0.272159,0.1333,1.0,0.1702,3
16-20,7+,neutral,moderate_disadvantage,5,3,0.6,0.219089,0.1706,1.0,0.1702,3
16-20,7+,neutral,neutral,5,4,0.8,0.178885,0.4494,1.0,0.1702,3
16-20,7+,neutral,strong_advantage,1,1,1.0,0.0,1.0,1.0,0.1702,3
16-20,7+,neutral,strong_disadvantage,1,0,0.0,0.0,0.0,0.0,0.1702,3
16-20,7+,very_high,moderate_advantage,190,0,0.0,0.0,0.0,0.0,0.0,1
16-20,7+,very_high,moderate_disadvantage,205,9,0.0439,0.014309,0.0159,0.0719,0.0439,1
16-20,7+,very_high,neutral,258,9,0.0349,0.011426,0.0125,0.0573,0.0349,1
16-20,7+,very_high,strong_advantage,72,0,0.0,0.0,0.0,0.0,0.0,1
16-20,7+,very_high,strong_disadvantage,119,0,0.0,0.0,0.0,0.0,0.0,1
16-20,7+,very_low,moderate_advantage,84,8,0.0952,0.032022,0.0324,0.158,0.0952,1
16-20,7+,very_low,moderate_disadvantage,82,15,0.1829,0.042691,0.0992,0.2666,0.1829,1
16-20,7+,very_low,neutral,97,18,0.1856,0.039475,0.1082,0.263,0.1856,1
16-20,7+,very_low,strong_advantage,36,9,0.25,0.072169,0.1085,0.3915,0.1622,2
16-20,7+,very_low,strong_disadvantage,40,5,0.125,0.052291,0.0225,0.2275,0.1622,2
4-6,0-1,first_innings,moderate_advantage,507,300,0.5917,0.021829,0.5489,0.6345,0.5917,1
4-6,0-1,first_innings,moderate_disadvantage,516,261,0.5058,0.02201,0.4627,0.5489,0.5058,1
